country,region,percentage,median_percentage,continent
Afghanistan,South Asia,0.9423702013900543,0.8461742963251473,Asia
Albania,Southern Europe,0.6383839730124001,0.6558348913992449,Europe
Algeria,North Africa,0.630204769898109,0.8206128837841787,Africa
Argentina,South America,0.8767938958595356,0.8194123131090988,Americas
Armenia,Central Asia,0.42016421814081034,0.8461742963251473,Asia
Australia,Aus/NZ,0.8332962560295303,0.7771823167727796,Oceania
Austria,Western Europe,0.548592406123656,0.6558348913992449,Europe
Azerbaijan,Central Asia,0.6339330828609149,0.8461742963251473,Asia
Bangladesh,South Asia,0.9790823204146358,0.8461742963251473,Asia
Belarus,Eastern Europe,0.3631982502368123,0.6558348913992449,Europe
Belgium,Western Europe,0.6271028787957234,0.6558348913992449,Europe
Benin,Western Africa,0.8180269815896852,0.8206128837841787,Africa
Bolivia,South America,0.7419606175753176,0.8194123131090988,Americas
Bosnia and Herzegovina,Southern Europe,0.7028352916792995,0.6558348913992449,Europe
Botswana,Southern Africa,0.7941785941657024,0.8206128837841787,Africa
Brazil,South America,0.7998103720482848,0.8194123131090988,Americas
Bulgaria,Eastern Europe,0.3954659856964611,0.6558348913992449,Europe
Burkina Faso,Western Africa,0.6802213453222018,0.8206128837841787,Africa
Burundi,Eastern Africa,0.8751567521358754,0.8206128837841787,Africa
Cambodia,Southeast Asia,0.876030280929837,0.8461742963251473,Asia
Cameroon,Central Africa,0.77104957073413,0.8206128837841787,Africa
Canada,Northern America,0.7643792008783675,0.8194123131090988,Americas
Chad,Central Africa,0.8113775922364721,0.8206128837841787,Africa
Chile,South America,0.7419019875463864,0.8194123131090988,Americas
China,East Asia,0.7229322724241933,0.8461742963251473,Asia
Colombia,South America,0.8194123131090988,0.8194123131090988,Americas
Comoros,Eastern Africa,0.8925248139992082,0.8206128837841787,Africa
"Congo, Rep.",Central Africa,0.751463029310277,0.8206128837841787,Africa
Costa Rica,Central America and Mexico,0.8636932242108252,0.8194123131090988,Americas
Croatia,Southern Europe,0.5677457913838703,0.6558348913992449,Europe
Cyprus,Southern Europe,0.621991964541309,0.6558348913992449,Europe
Czech Republic,Eastern Europe,0.6404283543664014,0.6558348913992449,Europe
Denmark,Northern Europe,0.6977371729818083,0.6558348913992449,Europe
