country,question,percentage_yes,code
Afghanistan,Q3 Do you think studying diseases is a part of science?,70,AFG
Afghanistan,"Q5A Have you, personally, ever, learned about science at Primary School?",30,AFG
Afghanistan,"Q5B Have you, personally, ever, learned about science at Secondary School?",73,AFG
Afghanistan,"Q5C Have you, personally, ever, learned about science at College/University?",50,AFG
Afghanistan,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",8,AFG
Afghanistan,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",32,AFG
Afghanistan,"Q8 Would you, personally, like to know more about science?",69,AFG
Afghanistan,"Q9 Would you, personally, like to know more about medicine, disease, or health?",90,AFG
Afghanistan,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",65,AFG
Afghanistan,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",76,AFG
Afghanistan,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",51,AFG
Afghanistan,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",73,AFG
Afghanistan,"Q23 Before today, had you ever heard of a vaccine?",99,AFG
Afghanistan,"Q27 Do you, personally, have any children?",95,AFG
Afghanistan,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",95,AFG
Afghanistan,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,4,AFG
Albania,Q3 Do you think studying diseases is a part of science?,91,ALB
Albania,"Q5A Have you, personally, ever, learned about science at Primary School?",49,ALB
Albania,"Q5B Have you, personally, ever, learned about science at Secondary School?",50,ALB
Albania,"Q5C Have you, personally, ever, learned about science at College/University?",18,ALB
Albania,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",33,ALB
Albania,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",59,ALB
Albania,"Q8 Would you, personally, like to know more about science?",82,ALB
Albania,"Q9 Would you, personally, like to know more about medicine, disease, or health?",90,ALB
Albania,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",50,ALB
Albania,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",60,ALB
Albania,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",40,ALB
Albania,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",78,ALB
Albania,"Q23 Before today, had you ever heard of a vaccine?",85,ALB
Albania,"Q27 Do you, personally, have any children?",70,ALB
Albania,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",95,ALB
Albania,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,30,ALB
Algeria,Q3 Do you think studying diseases is a part of science?,82,DZA
Algeria,"Q5A Have you, personally, ever, learned about science at Primary School?",72,DZA
Algeria,"Q5B Have you, personally, ever, learned about science at Secondary School?",42,DZA
Algeria,"Q5C Have you, personally, ever, learned about science at College/University?",15,DZA
