country,region,Q7,Q9,isWorld
Afghanistan,South Asia,32,90,FALSE
Albania,Southern Europe,59,90,FALSE
Algeria,North Africa,34,61,FALSE
Argentina,South America,42,78,FALSE
Armenia,Central Asia,55.00000000000001,78,FALSE
Australia,Australia/New Zealand,64,77,FALSE
Austria,Western Europe,66,56.99999999999999,FALSE
Azerbaijan,Central Asia,28.999999999999996,61,FALSE
Bangladesh,South Asia,41,79,FALSE
Belarus,Eastern Europe,40,56.00000000000001,FALSE
Belgium,Western Europe,59,70,FALSE
Benin,Western Africa,45,85,FALSE
Bolivia,South America,59,92,FALSE
Bosnia and Herzegovina,Southern Europe,38,68,FALSE
Botswana,Southern Africa,34,88,FALSE
Brazil,South America,39,80,FALSE
Bulgaria,Eastern Europe,37,61,FALSE
Burkina Faso,Western Africa,39,87,FALSE
Burundi,Eastern Africa,28.000000000000004,87,FALSE
Cambodia,Southeast Asia,43,89,FALSE
Cameroon,Central Africa,55.00000000000001,88,FALSE
Canada,Northern America,71,86,FALSE
Chad,Central Africa,31,69,FALSE
Chile,South America,56.00000000000001,84,FALSE
China,East Asia,41,79,FALSE
Colombia,South America,48,91,FALSE
Comoros,Eastern Africa,49,92,FALSE
"Congo, Rep.",Central Africa,41,70,FALSE
Costa Rica,Central America and Mexico,50,90,FALSE
Croatia,Southern Europe,36,53,FALSE
Cyprus,Southern Europe,54,88,FALSE
Czech Republic,Eastern Europe,21,38,FALSE
Denmark,Northern Europe,68,70,FALSE
Dominican Republic,Central America and Mexico,51,92,FALSE
Ecuador,South America,54,91,FALSE
Egypt,North Africa,28.000000000000004,59,FALSE
El Salvador,Central America and Mexico,42,84,FALSE
Estonia,Northern Europe,55.00000000000001,65,FALSE
Eswatini,Southern Africa,37,93,FALSE
Ethiopia,Eastern Africa,31,90,FALSE
Finland,Northern Europe,65,74,FALSE
France,Western Europe,60,65,FALSE
Gabon,Central Africa,43,84,FALSE
Georgia,Central Asia,50,83,FALSE
Germany,Western Europe,63,56.99999999999999,FALSE
Ghana,Western Africa,32,77,FALSE
Greece,Southern Europe,31,76,FALSE
Guatemala,Central America and Mexico,43,91,FALSE
Guinea,Western Africa,37,86,FALSE
Haiti,Central America and Mexico,36,87,FALSE
Honduras,Central America and Mexico,48,92,FALSE
Hungary,Eastern Europe,39,60,FALSE
Iceland,Northern Europe,59,85,FALSE
India,South Asia,23,51,FALSE
Indonesia,Southeast Asia,36,65,FALSE
