wellcome_tag,question,x3,column_n_percent_4
MH2A,How Much Science Can Explain How the Human Body Works,A lot,0.46144337872567903
MH2A,How Much Science Can Explain How the Human Body Works,Some,0.29747233578383897
MH2A,How Much Science Can Explain How the Human Body Works,Not much,0.06965875511198473
MH2A,How Much Science Can Explain How the Human Body Works,Not at all,0.03292976461752681
MH2A,How Much Science Can Explain How the Human Body Works,DK/Refused,0.1384957657609732
MH2B,How Much Science Can Explain How Feelings and Emotions Work,A lot,0.2675667716374324
MH2B,How Much Science Can Explain How Feelings and Emotions Work,Some,0.3709426370832232
MH2B,How Much Science Can Explain How Feelings and Emotions Work,Not much,0.1306542385201529
MH2B,How Much Science Can Explain How Feelings and Emotions Work,Not at all,0.0773578304054864
MH2B,How Much Science Can Explain How Feelings and Emotions Work,DK/Refused,0.1534785223536938
MH1,Importance of Mental Health For Well-Being,More important,0.4551575770920199
MH1,Importance of Mental Health For Well-Being,As important,0.45941072617795553
MH1,Importance of Mental Health For Well-Being,Less important,0.05470043149376154
MH1,Importance of Mental Health For Well-Being,DK/Refused,0.03073126523627463
MH3A,How Much Science Helps to Treat Cancer,A lot,0.4897097806653332
MH3A,How Much Science Helps to Treat Cancer,Some,0.32862230869279246
MH3A,How Much Science Helps to Treat Cancer,Not much,0.08071837985903835
MH3A,How Much Science Helps to Treat Cancer,Not at all,0.04797371252193191
MH3A,How Much Science Helps to Treat Cancer,DK/Refused,0.052975818260909587
MH3B,How Much Science Helps to Treat Anxiety or Depression,A lot,0.30882071954036006
MH3B,How Much Science Helps to Treat Anxiety or Depression,Some,0.39713153525759326
MH3B,How Much Science Helps to Treat Anxiety or Depression,Not much,0.13613247961938052
MH3B,How Much Science Helps to Treat Anxiety or Depression,Not at all,0.07816537433650014
MH3B,How Much Science Helps to Treat Anxiety or Depression,DK/Refused,0.07974989124615547
MH3C,How Much Science Helps to Treat Infectious Diseases,A lot,0.5332511756728057
MH3C,How Much Science Helps to Treat Infectious Diseases,Some,0.2730259913288016
MH3C,How Much Science Helps to Treat Infectious Diseases,Not much,0.07201337546829746
MH3C,How Much Science Helps to Treat Infectious Diseases,Not at all,0.05521541625529205
MH3C,How Much Science Helps to Treat Infectious Diseases,DK/Refused,0.06649404127481111
MH3D,How Much Science Helps to Treat Obesity,A lot,0.30073903373607797
MH3D,How Much Science Helps to Treat Obesity,Some,0.3548430767327871
MH3D,How Much Science Helps to Treat Obesity,Not much,0.15476370056753078
MH3D,How Much Science Helps to Treat Obesity,Not at all,0.10393356953753129
MH3D,How Much Science Helps to Treat Obesity,DK/Refused,0.08572061942606637
MH4A,Important for National Govt to Fund Research on Cancer,Extremely important,0.6869125285085453
MH4A,Important for National Govt to Fund Research on Cancer,Somewhat important,0.21402978804696665
MH4A,Important for National Govt to Fund Research on Cancer,Not too important,0.02706483845405881
MH4A,Important for National Govt to Fund Research on Cancer,Not important at all,0.02980152771970141
MH4A,Important for National Govt to Fund Research on Cancer,DK/Refused,0.04219131727073119
MH4B,Important for National Govt to Fund Research on Anxiety/Depression,Extremely important,0.4930038538506912
MH4B,Important for National Govt to Fund Research on Anxiety/Depression,Somewhat important,0.3231602904758628
MH4B,Important for National Govt to Fund Research on Anxiety/Depression,Not too important,0.07029544754637312
MH4B,Important for National Govt to Fund Research on Anxiety/Depression,Not important at all,0.04977378082170324
